Date,Price,volume,open_price,Year,USDZAR Curncy,W 1 Comdty,W 2 Comdty,WZ1 Comdty,YW1 Comdty,year_month,max_temp,precipitation,avg_temp,min_temp,active_flag,day
2020-11-26,4833,3245.0,4870.0,2020,15.1838,,,3430.0,3391.0,202011,77.4986,2.69,66.64835,55.78945,0,Thursday
2020-12-03,4780,986.0,4780.0,2020,15.1753,571.75,584.5,3560.0,3473.0,202012,80.04705,4.291667,69.8073,59.5559,0,Thursday
2020-12-10,4681,1008.0,4606.4,2020,15.0208,590.25,596.5,3482.0,3364.0,202012,80.04705,4.291667,69.8073,59.5559,0,Thursday
2021-05-06,4970,169.0,5000.0,2021,14.2103,764.25,753.25,3535.0,3694.0,202105,68.96209999999999,1.485,56.81455,44.6573,0,Thursday
2021-05-13,4925,181.0,4965.0,2021,14.1163,726.5,701.5,3422.0,3586.0,202105,68.96209999999999,1.485,56.81455,44.6573,0,Thursday
2021-05-20,4850,15.0,4850.0,2021,13.9747,675.25,677.75,3270.0,3395.0,202105,68.96209999999999,1.485,56.81455,44.6573,0,Thursday
2021-05-27,4780,128.0,4800.0,2021,13.7736,676.25,679.5,3055.0,3185.0,202105,68.96209999999999,1.485,56.81455,44.6573,0,Thursday
2021-06-03,4835,239.0,4852.0,2021,13.6391,676.25,680.75,3261.0,3387.0,202106,66.8917,1.021667,54.7592,42.61305,0,Thursday
2021-06-10,4828,199.0,4833.0,2021,13.6101,683.75,689.75,3317.0,3465.0,202106,66.8917,1.021667,54.7592,42.61305,0,Thursday
2021-06-17,4845,143.0,4855.0,2021,14.116,639.0,643.0,3117.0,3258.0,202106,66.8917,1.021667,54.7592,42.61305,0,Thursday
2021-06-24,4950,711.0,4900.0,2021,14.2089,651.25,652.0,2966.0,3119.0,202106,66.8917,1.021667,54.7592,42.61305,0,Thursday
2021-07-01,4971,514.0,5000.0,2021,14.4336,658.5,665.5,3273.0,3415.0,202107,62.99435,1.3775,50.1191,37.22955,0,Thursday
2021-07-08,4968,148.0,4940.0,2021,14.3394,612.25,618.0,3091.0,3236.0,202107,62.99435,1.3775,50.1191,37.22955,0,Thursday
2021-07-15,4991,328.0,4989.0,2021,14.5811,672.0,678.75,3207.0,3341.0,202107,62.99435,1.3775,50.1191,37.22955,0,Thursday
